probe,gene,mean_dBeta,t_unadj,q_unadj,t_adj_dNeu,q_adj_dNeu,t_adj_3lin,q_adj_3lin
cg27043630,MYD88,-0.0004451289,-0.9063491169303765,0.7385255953474746,-0.8638386057513152,0.9998167265501986,-0.4415120768301387,0.9998751256512294
cg00556515,TNFRSF1A,0.0026012885,1.113636456189759,0.6600840811735742,1.3895374654180555,0.9998167265501986,0.5055962004806946,0.9998751256512294
cg01045723,TLR9,0.001460073,0.53919819638987,0.8646677714927015,0.03409691076076539,0.9998167265501986,0.35507659027528693,0.9998751256512294
cg09250473,IRF3,-0.0005514137,-0.5065156228801954,0.8748986223466529,-0.04023640687780706,0.9998167265501986,-0.19540935650666458,0.9998751256512294
cg18576635,IFNGR1,0.000100682,0.17921507180817775,0.9618585516145121,-0.15353309722463576,0.9998167265501986,-0.3399423241848237,0.9998751256512294
cg19170015,CXCL1,-0.011967961,-2.4215178072358436,0.21054325162824572,0.47915442280481757,0.9998167265501986,0.513211542612461,0.9998751256512294
cg17034030,MYD88,0.00025444737,0.7008692386887485,0.8119798541572504,0.04797424968522714,0.9998167265501986,-0.9426565622670249,0.9998751256512294
cg03256465,JUN,0.00027052689,0.5190391434241254,0.87129454011682,0.05335229768358111,0.9998167265501986,-0.45983855906027166,0.9998751256512294
cg16702747,IRF8,0.0016962069,1.735509197677319,0.4212358526874756,1.1266803467614999,0.9998167265501986,0.7507029310187207,0.9998751256512294
cg03553358,SOCS1,-0.0008246039,-1.290391760703284,0.5921401128854209,-1.0090483131527435,0.9998167265501986,-1.3164281505479294,0.9998751256512294
cg17108506,FOS,-0.00024248072,-0.9564963391113572,0.7201055144266197,-0.6173240623294203,0.9998167265501986,-0.9425640039374797,0.9998751256512294
cg12282381,MAP3K7,0.00022952161,0.7528356873722417,0.7941621004282382,0.6883405477838609,0.9998167265501986,0.7113390125661042,0.9998751256512294
